time,heart_rate
2024-11-28T10:38:28Z,87
2024-11-28T10:38:33Z,85
2024-11-28T10:38:48Z,85
2024-11-28T10:39:03Z,84
2024-11-28T10:39:08Z,83
2024-11-28T10:39:18Z,83
2024-11-28T10:39:28Z,85
2024-11-28T10:39:38Z,86
2024-11-28T10:39:43Z,87
2024-11-28T10:39:58Z,87
2024-11-28T10:40:13Z,87
2024-11-28T10:40:18Z,86
2024-11-28T10:40:28Z,85
2024-11-28T10:40:38Z,86
2024-11-28T10:40:43Z,87
2024-11-28T10:40:48Z,86
2024-11-28T10:41:03Z,84
2024-11-28T10:41:08Z,83
2024-11-28T10:41:13Z,85
2024-11-28T10:41:18Z,87
2024-11-28T10:41:23Z,88
2024-11-28T10:41:28Z,87
2024-11-28T10:41:33Z,88
2024-11-28T10:41:43Z,85
2024-11-28T10:41:48Z,83
2024-11-28T10:41:53Z,82
2024-11-28T10:41:58Z,80
2024-11-28T10:42:03Z,81
2024-11-28T10:42:08Z,82
2024-11-28T10:42:13Z,83
2024-11-28T10:42:23Z,84
2024-11-28T10:42:38Z,85
2024-11-28T10:42:53Z,84
2024-11-28T10:42:58Z,83
2024-11-28T10:43:03Z,82
2024-11-28T10:43:13Z,81
2024-11-28T10:43:28Z,81
2024-11-28T10:43:43Z,81
2024-11-28T10:43:48Z,82
2024-11-28T10:43:53Z,82
2024-11-28T10:44:08Z,82
2024-11-28T10:44:13Z,81
2024-11-28T10:44:23Z,82
2024-11-28T10:44:38Z,81
2024-11-28T10:44:43Z,79
2024-11-28T10:44:48Z,77
2024-11-28T10:45:03Z,78
2024-11-28T10:45:08Z,78
2024-11-28T10:45:23Z,79
2024-11-28T10:45:28Z,80
2024-11-28T10:45:33Z,79
2024-11-28T10:45:38Z,78
2024-11-28T10:45:43Z,77
2024-11-28T10:45:48Z,76
2024-11-28T10:46:03Z,79
2024-11-28T10:46:08Z,80
2024-11-28T10:46:13Z,81
2024-11-28T10:46:18Z,80
2024-11-28T10:46:28Z,76
2024-11-28T10:46:33Z,76
2024-11-28T10:46:48Z,77
2024-11-28T10:46:53Z,78
2024-11-28T10:46:58Z,79
2024-11-28T10:47:03Z,80
2024-11-28T10:47:13Z,81
2024-11-28T10:47:28Z,80
2024-11-28T10:47:33Z,79
2024-11-28T10:47:48Z,79
2024-11-28T10:47:58Z,80
2024-11-28T10:48:08Z,79
2024-11-28T10:48:13Z,80
